Date,Open,High,Low,Close,Adj Close,Volume
2000-04-26,375.0,375.0,375.0,375.0,320.0757751464844,0
2000-04-27,375.0,375.0,375.0,375.0,320.0757751464844,0
2000-04-28,375.0,375.0,375.0,375.0,320.0757751464844,0
2000-05-01,375.0,375.0,375.0,375.0,320.0757751464844,0
2000-05-02,375.0,375.0,375.0,375.0,320.0757751464844,0
2000-05-03,375.0,375.0,375.0,375.0,320.0757751464844,0
2000-05-04,375.0,375.0,375.0,375.0,320.0757751464844,0
2000-05-05,375.0,375.0,375.0,375.0,320.0757751464844,0
2000-05-08,375.0,375.0,375.0,375.0,320.0757751464844,0
2000-05-09,375.0,375.0,375.0,375.0,320.0757751464844,0
2000-05-10,375.0,375.0,375.0,375.0,320.0757751464844,0
2000-05-11,375.0,375.0,375.0,375.0,320.0757751464844,0
2000-05-12,375.0,375.0,375.0,375.0,320.0757751464844,0
2000-05-15,375.0,375.0,375.0,375.0,320.0757751464844,0
2000-05-16,375.0,375.0,375.0,375.0,320.0757751464844,0
2000-05-17,375.0,375.0,375.0,375.0,320.0757751464844,0
2000-05-18,375.0,375.0,375.0,375.0,320.0757751464844,0
2000-05-19,375.0,375.0,375.0,375.0,320.0757751464844,0
2000-05-22,375.0,375.0,375.0,375.0,320.0757751464844,0
2000-05-23,375.0,375.0,375.0,375.0,320.0757751464844,0
2000-05-24,375.0,375.0,375.0,375.0,320.0757751464844,0
2000-05-25,375.0,375.0,375.0,375.0,320.0757751464844,0
2000-05-26,375.0,375.0,375.0,375.0,320.0757751464844,0
2000-05-29,375.0,375.0,375.0,375.0,320.0757751464844,0
2000-05-30,375.0,375.0,375.0,375.0,320.0757751464844,0
2000-05-31,349.25,349.25,349.25,349.25,298.0973205566406,172400
2000-06-01,337.5,337.5,337.5,337.5,288.0682373046875,9600
2000-06-02,337.5,337.5,337.5,337.5,288.0682373046875,0
2000-06-05,337.5,337.5,337.5,337.5,288.0682373046875,0
2000-06-06,337.5,337.5,337.5,337.5,288.0682373046875,0
2000-06-07,297.5,297.5,297.5,297.5,253.92677307128906,4
2000-06-08,297.5,297.5,297.5,297.5,253.92677307128906,0
