Date,Open,High,Low,Close,Adj Close,Volume
2000-11-24,268.0,268.0,268.0,268.0,168.52659606933594,0
2000-11-27,268.0,268.0,268.0,268.0,168.52659606933594,0
2000-11-28,268.0,268.0,268.0,268.0,168.52659606933594,0
2000-11-29,268.0,268.0,268.0,268.0,168.52659606933594,0
2000-11-30,268.0,268.0,268.0,268.0,168.52659606933594,0
2000-12-01,268.0,268.0,268.0,268.0,168.52659606933594,0
2000-12-04,268.0,268.0,268.0,268.0,168.52659606933594,0
2000-12-05,268.0,268.0,268.0,268.0,168.52659606933594,0
2000-12-06,268.0,268.0,268.0,268.0,168.52659606933594,0
2000-12-07,268.0,268.0,268.0,268.0,168.52659606933594,0
2000-12-08,268.0,268.0,268.0,268.0,168.52659606933594,0
2000-12-11,268.0,268.0,268.0,268.0,168.52659606933594,0
2000-12-12,268.0,268.0,268.0,268.0,168.52659606933594,0
2000-12-13,268.0,268.0,268.0,268.0,168.52659606933594,0
2000-12-14,268.0,268.0,268.0,268.0,168.52659606933594,0
2000-12-15,268.0,268.0,268.0,268.0,168.52659606933594,0
2000-12-18,268.0,268.0,268.0,268.0,168.52659606933594,0
2000-12-19,268.0,268.0,268.0,268.0,168.52659606933594,0
2000-12-20,268.0,268.0,268.0,268.0,168.52659606933594,0
2000-12-21,268.0,268.0,268.0,268.0,168.52659606933594,0
2000-12-22,268.0,268.0,268.0,268.0,168.52659606933594,0
2000-12-25,268.0,268.0,268.0,268.0,168.52659606933594,0
2000-12-26,268.0,268.0,268.0,268.0,168.52659606933594,0
2000-12-27,268.0,268.0,268.0,268.0,168.52659606933594,0
2000-12-28,268.0,268.0,268.0,268.0,168.52659606933594,0
2000-12-29,268.0,268.0,268.0,268.0,168.52659606933594,0
2001-01-01,268.0,268.0,268.0,268.0,168.52659606933594,0
2001-01-02,268.0,268.0,268.0,268.0,168.52659606933594,0
2001-01-03,268.0,268.0,268.0,268.0,168.52659606933594,0
2001-01-04,268.0,268.0,268.0,268.0,168.52659606933594,0
2001-01-05,268.0,268.0,268.0,268.0,168.52659606933594,0
2001-01-08,268.0,268.0,268.0,268.0,168.52659606933594,0
2001-01-09,268.0,268.0,268.0,268.0,168.52659606933594,0
2001-01-10,268.0,268.0,268.0,268.0,168.52659606933594,0
2001-01-11,268.0,268.0,268.0,268.0,168.52659606933594,0
2001-01-12,268.0,268.0,268.0,268.0,168.52659606933594,0
2001-01-15,268.0,268.0,268.0,268.0,168.52659606933594,0
2001-01-16,268.0,268.0,268.0,268.0,168.52659606933594,0
2001-01-17,268.0,268.0,268.0,268.0,168.52659606933594,0
2001-01-18,268.0,268.0,268.0,268.0,168.52659606933594,0
2001-01-19,268.0,268.0,268.0,268.0,168.52659606933594,0
2001-01-22,290.0,290.0,290.0,290.0,182.36087036132812,26446
2001-01-23,290.0,290.0,290.0,290.0,182.36087036132812,0
2001-01-24,290.0,290.0,290.0,290.0,182.36087036132812,0
2001-01-25,290.0,290.0,290.0,290.0,182.36087036132812,0
2001-01-26,290.0,290.0,290.0,290.0,182.36087036132812,0
2001-01-29,290.0,290.0,290.0,290.0,182.36087036132812,0
2001-01-30,290.0,290.0,290.0,290.0,182.36087036132812,0
2001-01-31,290.0,290.0,290.0,290.0,182.36087036132812,0
2001-02-01,290.0,290.0,290.0,290.0,182.36087036132812,0
2001-02-02,290.0,290.0,290.0,290.0,182.36087036132812,0
2001-02-05,290.0,290.0,290.0,290.0,182.36087036132812,0
2001-02-06,290.0,290.0,290.0,290.0,182.36087036132812,0
2001-02-07,290.0,290.0,290.0,290.0,182.36087036132812,0
2001-02-08,290.0,290.0,290.0,290.0,182.36087036132812,0
2001-02-09,290.0,290.0,290.0,290.0,182.36087036132812,0
2001-02-12,290.0,290.0,290.0,290.0,182.36087036132812,0
2001-02-13,346.1000061035156,346.1000061035156,346.1000061035156,346.1000061035156,217.6383056640625,10
2001-02-14,346.1000061035156,346.1000061035156,346.1000061035156,346.1000061035156,217.6383056640625,0
2001-02-15,346.1000061035156,346.1000061035156,346.1000061035156,346.1000061035156,217.6383056640625,0
2001-02-16,346.1000061035156,346.1000061035156,346.1000061035156,346.1000061035156,217.6383056640625,0
2001-02-19,346.1000061035156,346.1000061035156,346.1000061035156,346.1000061035156,217.6383056640625,0
2001-02-20,346.1000061035156,346.1000061035156,346.1000061035156,346.1000061035156,217.6383056640625,0
2001-02-21,346.1000061035156,346.1000061035156,346.1000061035156,346.1000061035156,217.6383056640625,0
2001-02-22,346.1000061035156,346.1000061035156,346.1000061035156,346.1000061035156,217.6383056640625,0
2001-02-23,346.1000061035156,346.1000061035156,346.1000061035156,346.1000061035156,217.6383056640625,0
2001-02-26,346.1000061035156,346.1000061035156,346.1000061035156,346.1000061035156,217.6383056640625,0
2001-02-27,346.1000061035156,346.1000061035156,346.1000061035156,346.1000061035156,217.6383056640625,0
2001-02-28,346.1000061035156,346.1000061035156,346.1000061035156,346.1000061035156,217.6383056640625,0
2001-03-01,346.1000061035156,346.1000061035156,346.1000061035156,346.1000061035156,217.6383056640625,0
2001-03-02,346.1000061035156,346.1000061035156,346.1000061035156,346.1000061035156,217.6383056640625,0
2001-03-05,346.1000061035156,346.1000061035156,346.1000061035156,346.1000061035156,217.6383056640625,0
2001-03-06,346.1000061035156,346.1000061035156,346.1000061035156,346.1000061035156,217.6383056640625,0
2001-03-07,346.1000061035156,346.1000061035156,346.1000061035156,346.1000061035156,217.6383056640625,0
2001-03-08,346.1000061035156,346.1000061035156,346.1000061035156,346.1000061035156,217.6383056640625,0
2001-03-09,346.1000061035156,346.1000061035156,346.1000061035156,346.1000061035156,217.6383056640625,0
2001-03-12,346.1000061035156,346.1000061035156,346.1000061035156,346.1000061035156,217.6383056640625,0
2001-03-13,346.1000061035156,346.1000061035156,346.1000061035156,346.1000061035156,217.6383056640625,0
2001-03-14,346.1000061035156,346.1000061035156,346.1000061035156,346.1000061035156,217.6383056640625,0
2001-03-15,346.1000061035156,346.1000061035156,346.1000061035156,346.1000061035156,217.6383056640625,0
2001-03-16,346.1000061035156,346.1000061035156,346.1000061035156,346.1000061035156,217.6383056640625,0
